fips,county,ECI_Number,ECI_Area_Name,key
19035,Cherokee,1,"Plymouth: Cherokee, Lyon, Plymouth, Sioux Counties",County1
19119,Lyon,1,"Plymouth: Cherokee, Lyon, Plymouth, Sioux Counties",County2
19149,Plymouth,1,"Plymouth: Cherokee, Lyon, Plymouth, Sioux Counties",County3
19167,Sioux,1,"Plymouth: Cherokee, Lyon, Plymouth, Sioux Counties",County4
19041,Clay,2,"Lakes Area ECI: Clay, Dickinson, O'Brien, Osceola Counties",County1
19059,Dickinson,2,"Lakes Area ECI: Clay, Dickinson, O'Brien, Osceola Counties",County2
19141,O'Brien,2,"Lakes Area ECI: Clay, Dickinson, O'Brien, Osceola Counties",County3
19143,Osceola,2,"Lakes Area ECI: Clay, Dickinson, O'Brien, Osceola Counties",County4
19063,Emmet,3,"Early Childhood IA North Central IA: Emmet, Kossuth, Palo Alto, Winnebago Counties",County1
19109,Kossuth,3,"Early Childhood IA North Central IA: Emmet, Kossuth, Palo Alto, Winnebago Counties",County2
19147,Palo Alto,3,"Early Childhood IA North Central IA: Emmet, Kossuth, Palo Alto, Winnebago Counties",County3
19189,Winnebago,3,"Early Childhood IA North Central IA: Emmet, Kossuth, Palo Alto, Winnebago Counties",County4
19033,Cerro Gordo,4,"Cerro Gordo, Hancock, Worth Counties",County2
19081,Hancock,4,"Cerro Gordo, Hancock, Worth Counties",County3
19195,Worth,4,"Cerro Gordo, Hancock, Worth Counties",County4
19037,Chickasaw,5,"FMC: Chickasaw, Floyd, Mitchell Counties",County2
19067,Floyd,5,"FMC: Chickasaw, Floyd, Mitchell Counties",County3
19131,Mitchell,5,"FMC: Chickasaw, Floyd, Mitchell Counties",County4
19005,Allamakee,6,"HAWC Partnerships for Children: Allamakee, Clayton, Howard, Winneshiek Counties",County1
19043,Clayton,6,"HAWC Partnerships for Children: Allamakee, Clayton, Howard, Winneshiek Counties",County2
19089,Howard,6,"HAWC Partnerships for Children: Allamakee, Clayton, Howard, Winneshiek Counties",County3
19191,Winneshiek,6,"HAWC Partnerships for Children: Allamakee, Clayton, Howard, Winneshiek Counties",County4
19019,Buchanan,7,"Building Directions for Families: Buchanan, Delaware, Fayette Counties",County2
19055,Delaware,7,"Building Directions for Families: Buchanan, Delaware, Fayette Counties",County3
19065,Fayette,7,"Building Directions for Families: Buchanan, Delaware, Fayette Counties",County4
19017,Bremer,8,"Together 4 Families: Bremer, Butler, Franklin, Grundy Counties",County1
19023,Butler,8,"Together 4 Families: Bremer, Butler, Franklin, Grundy Counties",County2
19069,Franklin,8,"Together 4 Families: Bremer, Butler, Franklin, Grundy Counties",County3
19075,Grundy,8,"Together 4 Families: Bremer, Butler, Franklin, Grundy Counties",County4
19079,Hamilton,9,"Building Families: Hamilton, Humboldt, Wright Counties",County2
19091,Humboldt,9,"Building Families: Hamilton, Humboldt, Wright Counties",County3
19197,Wright,9,"Building Families: Hamilton, Humboldt, Wright Counties",County4
19025,Calhoun,10,"Linking Families and Communities: Calhoun, Pocahontas, Webster Counties",County2
19151,Pocahontas,10,"Linking Families and Communities: Calhoun, Pocahontas, Webster Counties",County3
19187,Webster,10,"Linking Families and Communities: Calhoun, Pocahontas, Webster Counties",County4
19021,Buena Vista,11,"BVCS ECI: Buena Vista, Crawford, Sac Counties",County2
19047,Crawford,11,"BVCS ECI: Buena Vista, Crawford, Sac Counties",County3
19161,Sac,11,"BVCS ECI: Buena Vista, Crawford, Sac Counties",County4
19093,Ida,12,"Siouxland Human Investment Partnership: Ida, Woodbury Counties",County3
19193,Woodbury,12,"Siouxland Human Investment Partnership: Ida, Woodbury Counties",County4
19083,Hardin,13,"Iowa River Valley ECA: Hardin, Marshall Counties",County3
19127,Marshall,13,"Iowa River Valley ECA: Hardin, Marshall Counties",County4
19013,Black Hawk,14,Cedar Valley Promise: Black Hawk County,County3
19061,Dubuque,15,Dubuque County,County3
19045,Clinton,16,"Clinton, Jackson Counties",County3
19097,Jackson,16,"Clinton, Jackson Counties",County4
19031,Cedar,17,"Early Childhood IA: Cedar, Jones Counties",County4
19105,Jones,17,"Early Childhood IA: Cedar, Jones Counties",County3
19113,Linn,18,Linn County,County3
19011,Benton,19,"Better Tomorrows: Benton, Tama Counties",County3
19171,Tama,19,"Better Tomorrows: Benton, Tama Counties",County4
19015,Boone,20,"BooST Together for Children: Boone, Story Counties",County3
19169,Story,20,"BooST Together for Children: Boone, Story Counties",County4
19009,Audubon,21,"Partnerships 4 Families: Audubon, Carroll, Greene, Guthrie Counties",County1
19027,Carroll,21,"Partnerships 4 Families: Audubon, Carroll, Greene, Guthrie Counties",County2
19073,Greene,21,"Partnerships 4 Families: Audubon, Carroll, Greene, Guthrie Counties",County3
19077,Guthrie,21,"Partnerships 4 Families: Audubon, Carroll, Greene, Guthrie Counties",County4
19085,Harrison,22,"Harrison, Monona, Shelby Counties",County2
19133,Monona,22,"Harrison, Monona, Shelby Counties",County3
19165,Shelby,22,"Harrison, Monona, Shelby Counties",County4
19155,Pottawattamie,23,Pottawattamie County,County3
19029,Cass,24,"Boost 4 Families: Cass, Mills, Montgomery Counties",County2
19129,Mills,24,"Boost 4 Families: Cass, Mills, Montgomery Counties",County3
19137,Montgomery,24,"Boost 4 Families: Cass, Mills, Montgomery Counties",County4
19001,Adair,25,"4RKids: Adair, Dallas, Madison, Warren Counties",County1
19049,Dallas,25,"4RKids: Adair, Dallas, Madison, Warren Counties",County2
19121,Madison,25,"4RKids: Adair, Dallas, Madison, Warren Counties",County3
19181,Warren,25,"4RKids: Adair, Dallas, Madison, Warren Counties",County4
19153,Polk,26,Early Childhood IA: Polk County,County3
19099,Jasper,27,"JMP: Jasper, Marion, Poweshiek Counties",County2
19125,Marion,27,"JMP: Jasper, Marion, Poweshiek Counties",County3
19157,Poweshiek,27,"JMP: Jasper, Marion, Poweshiek Counties",County4
19095,Iowa,28,"Iowa, Jefferson, Keokuk Counties",County2
19101,Jefferson,28,"Iowa, Jefferson, Keokuk Counties",County3
19107,Keokuk,28,"Iowa, Jefferson, Keokuk Counties",County4
19103,Johnson,29,Johnson County,County3
19139,Muscatine,30,Muscatine County,County3
19163,Scott,31,Scott County,County3
19057,Des Moines,33,"DHLW ECI Area: Des Moines, Henry, Louisa, Washington Counties",County1
19087,Henry,33,"DHLW ECI Area: Des Moines, Henry, Louisa, Washington Counties",County2
19115,Louisa,33,"DHLW ECI Area: Des Moines, Henry, Louisa, Washington Counties",County3
19183,Washington,33,"DHLW ECI Area: Des Moines, Henry, Louisa, Washington Counties",County4
19123,Mahaska,34,"Mahaska, Wapello Counties",County3
19179,Wapello,34,"Mahaska, Wapello Counties",County4
19071,Fremont,35,"Corner Counties ECI: Fremont, Page Counties",County3
19145,Page,35,"Corner Counties ECI: Fremont, Page Counties",County4
19003,Adams,36,"Quad Counties 4 Kids: Adams, Ringgold, Taylor, Union Counties",County1
19159,Ringgold,36,"Quad Counties 4 Kids: Adams, Ringgold, Taylor, Union Counties",County2
19173,Taylor,36,"Quad Counties 4 Kids: Adams, Ringgold, Taylor, Union Counties",County3
19175,Union,36,"Quad Counties 4 Kids: Adams, Ringgold, Taylor, Union Counties",County4
19039,Clarke,37,"Kids First Communities: Clarke, Decatur, Wayne Counties",County2
19053,Decatur,37,"Kids First Communities: Clarke, Decatur, Wayne Counties",County3
19185,Wayne,37,"Kids First Communities: Clarke, Decatur, Wayne Counties",County4
19007,Appanoose,38,"4 Counties For Kids: Appanoose, Davis, Lucas, Monroe Counties",County1
19051,Davis,38,"4 Counties For Kids: Appanoose, Davis, Lucas, Monroe Counties",County2
19117,Lucas,38,"4 Counties For Kids: Appanoose, Davis, Lucas, Monroe Counties",County3
19135,Monroe,38,"4 Counties For Kids: Appanoose, Davis, Lucas, Monroe Counties",County4
19111,Lee,39,"Children First: Lee, Van Buren Counties",County3
19177,Van Buren,39,"Children First: Lee, Van Buren Counties",County4
