"","reporting_Counties","total_Population_Estimate","10_Through_Upper_Age_Population_Estimate","0_Through_Upper_Age_Population_Estimate","petition","non_Petition","year","per_100k_Rate"
"1","Adair",7200,"700","1,500",5,10,2015,208.333333333333
"2","Adams",3800,"300","800",NA,15,2015,NA
"3","Allamakee",13900,"1,300","3,100",5,37,2015,302.158273381295
"4","Appanoose",12600,"1,200","2,800",6,24,2015,238.095238095238
"5","Audubon",5700,"500","1,200",9,8,2015,298.245614035088
"6","Benton",25700,"3,000","6,100",23,51,2015,287.937743190661
"7","Black Hawk",133500,"12,200","28,900",219,506,2015,543.071161048689
"8","Boone",26600,"2,800","5,900",19,67,2015,323.308270676692
"9","Bremer",24800,"2,500","5,500",12,94,2015,427.41935483871
"10","Buchanan",21100,"2,600","5,600",21,47,2015,322.274881516588
"11","Buena Vista",20300,"2,200","5,100",18,120,2015,679.802955665025
"12","Butler",14900,"1,600","3,500",5,42,2015,315.436241610738
"13","Calhoun",9800,"900","2,000",NA,16,2015,NA
"14","Carroll",20500,"2,200","5,000",20,33,2015,258.536585365854
"15","Cass",13400,"1,400","3,100",8,37,2015,335.820895522388
"16","Cedar",18400,"2,000","4,200",13,54,2015,364.130434782609
"17","Cerro Gordo",43000,"4,000","8,900",19,177,2015,455.813953488372
"18","Cherokee",11600,"1,100","2,400",12,18,2015,258.620689655172
"19","Chickasaw",12100,"1,300","2,900",NA,41,2015,NA
"20","Clarke",9200,"1,000","2,300",7,35,2015,456.521739130435
"21","Clay",16500,"1,700","3,800",19,72,2015,551.515151515152
"22","Clayton",17700,"1,800","3,900",NA,21,2015,NA
"23","Clinton",47600,"5,000","11,000",25,127,2015,319.327731092437
"24","Crawford",17000,"1,900","4,400",25,74,2015,582.352941176471
"25","Dallas",80800,"9,700","23,000",62,213,2015,340.346534653465
"26","Davis",8800,"1,100","2,500",5,11,2015,181.818181818182
"27","Decatur",8200,"800","1,800",NA,6,2015,NA
"28","Delaware",17400,"1,900","4,100",9,26,2015,201.149425287356
"29","Des Moines",40000,"4,100","9,200",87,314,2015,1002.5
"30","Dickinson",17100,"1,500","3,300",6,58,2015,374.269005847953
"31","Dubuque",97000,"10,100","22,400",138,542,2015,701.030927835052
"32","Emmet",9700,"1,000","2,100",10,62,2015,742.268041237113
"33","Fayette",20200,"1,900","4,200",16,70,2015,425.742574257426
"34","Floyd",16000,"1,700","3,600",NA,36,2015,NA
"35","Franklin",10300,"1,100","2,400",NA,26,2015,NA
"36","Fremont",6900,"700","1,500",8,21,2015,420.289855072464
"37","Greene",9000,"1,000","2,100",11,37,2015,533.333333333333
"38","Grundy",12400,"1,300","2,900",NA,10,2015,NA
"39","Guthrie",10700,"1,200","2,400",15,23,2015,355.140186915888
"40","Hamilton",15200,"1,600","3,500",13,46,2015,388.157894736842
"41","Hancock",11000,"1,200","2,500",NA,33,2015,NA
"42","Hardin",17300,"1,800","3,600",22,76,2015,566.473988439306
"43","Harrison",14200,"1,500","3,200",14,39,2015,373.239436619718
"44","Henry",19900,"2,100","4,400",32,64,2015,482.412060301508
"45","Howard",9400,"1,000","2,300",NA,20,2015,NA
"46","Humboldt",9500,"1,000","2,200",5,30,2015,368.421052631579
"47","Ida",7000,"700","1,600",NA,13,2015,NA
"48","Iowa",16400,"1,800","3,800",13,18,2015,189.024390243902
"49","Jackson",19500,"2,100","4,300",24,58,2015,420.51282051282
"50","Jasper",36700,"3,900","8,200",34,64,2015,267.029972752044
"51","Jefferson",17900,"1,300","2,900",14,24,2015,212.290502793296
"52","Johnson",144600,"12,100","29,200",98,253,2015,242.738589211618
"53","Jones",20400,"2,100","4,400",11,25,2015,176.470588235294
"54","Keokuk",10100,"1,100","2,300",NA,10,2015,NA
"55","Kossuth",15200,"1,500","3,300",8,23,2015,203.947368421053
"56","Lee",35100,"3,400","7,600",61,144,2015,584.045584045584
"57","Linn",219800,"23,800","52,300",304,798,2015,501.364877161056
"58","Louisa",11200,"1,200","2,600",10,27,2015,330.357142857143
"59","Lucas",8700,"900","2,000",10,65,2015,862.068965517241
"60","Lyon",11700,"1,500","3,300",NA,16,2015,NA
"61","Madison",15700,"2,000","4,000",20,35,2015,350.31847133758
"62","Mahaska",22300,"2,400","5,300",19,44,2015,282.511210762332
"63","Marion",33100,"3,800","8,000",24,75,2015,299.093655589124
"64","Marshall",40500,"4,400","10,100",60,228,2015,711.111111111111
"65","Mills",14800,"1,700","3,500",11,55,2015,445.945945945946
"66","Mitchell",10800,"1,200","2,600",NA,15,2015,NA
"67","Monona",9000,"900","1,900",NA,30,2015,NA
"68","Monroe",7900,"900","1,900",NA,22,2015,NA
"69","Montgomery",10200,"1,100","2,300",11,35,2015,450.980392156863
"70","Muscatine",43000,"5,000","10,900",107,159,2015,618.604651162791
"71","O'Brien",14000,"1,500","3,300",10,19,2015,207.142857142857
"72","Osceola",6100,"600","1,400",NA,5,2015,NA
"73","Page",15500,"1,500","3,200",13,28,2015,264.516129032258
"74","Palo Alto",9100,"900","2,100",NA,13,2015,NA
"75","Plymouth",24900,"2,900","6,200",19,44,2015,253.012048192771
"76","Pocahontas",7000,"700","1,600",5,23,2015,400
"77","Polk",466700,"50,200","117,800",706,NA,2015,NA
"78","Pottawattamie",93500,"10,000","22,200",141,455,2015,637.433155080214
"79","Poweshiek",18500,"1,700","3,700",7,21,2015,151.351351351351
"80","Ringgold",5100,"600","1,200",0,NA,2015,NA
"81","Sac",10000,"1,000","2,300",8,18,2015,260
"82","Scott",172200,"18,300","41,200",230,672,2015,523.809523809524
"83","Shelby",11900,"1,300","2,600",6,16,2015,184.873949579832
"84","Sioux",34800,"4,100","9,400",13,63,2015,218.390804597701
"85","Story",96300,"7,100","16,200",36,158,2015,201.453790238837
"86","Tama",17300,"2,000","4,200",14,30,2015,254.335260115607
"87","Taylor",6200,"700","1,500",NA,NA,2015,NA
"88","Union",12400,"1,300","2,800",16,32,2015,387.096774193548
"89","Van Buren",7300,"800","1,700",NA,8,2015,NA
"90","Wapello",35200,"3,400","7,900",52,181,2015,661.931818181818
"91","Warren",48700,"5,900","12,200",54,146,2015,410.677618069815
"92","Washington",22300,"2,500","5,600",15,51,2015,295.964125560538
"93","Wayne",6400,"700","1,600",0,9,2015,140.625
"94","Webster",37000,"3,700","8,000",88,197,2015,770.27027027027
"95","Winnebago",10600,"1,100","2,300",NA,41,2015,NA
"96","Winneshiek",20800,"1,900","3,900",19,38,2015,274.038461538462
"97","Woodbury",102500,"11,700","26,900",124,660,2015,764.878048780488
"98","Worth",7600,"800","1,600",NA,23,2015,NA
"99","Wright",12800,"1,400","3,000",6,33,2015,304.6875
"100","Statewide",3122000,"326,000","729,200",NA,NA,2015,NA
"101","Adair",7000,"700","1,500",NA,9,2016,NA
"102","Adams",3700,"300","800",NA,NA,2016,NA
"103","Allamakee",13900,"1,400","3,200",10,33,2016,309.352517985611
"104","Appanoose",12500,"1,300","2,800",NA,28,2016,NA
"105","Audubon",5600,"500","1,100",6,5,2016,196.428571428571
"106","Benton",25600,"2,900","6,100",47,44,2016,355.46875
"107","Black Hawk",132800,"12,200","28,700",203,320,2016,393.825301204819
"108","Boone",26400,"2,800","5,800",18,82,2016,378.787878787879
"109","Bremer",24800,"2,500","5,500",17,124,2016,568.548387096774
"110","Buchanan",21000,"2,600","5,600",14,31,2016,214.285714285714
"111","Buena Vista",20300,"2,200","5,200",21,122,2016,704.433497536946
"112","Butler",14700,"1,600","3,400",7,19,2016,176.87074829932
"113","Calhoun",9800,"900","2,100",NA,12,2016,NA
"114","Carroll",20400,"2,200","5,000",10,48,2016,284.313725490196
"115","Cass",13200,"1,400","3,000",12,37,2016,371.212121212121
"116","Cedar",18400,"2,000","4,100",11,25,2016,195.652173913043
"117","Cerro Gordo",43100,"4,000","9,000",31,272,2016,703.016241299304
"118","Cherokee",11400,"1,100","2,400",10,37,2016,412.280701754386
"119","Chickasaw",12100,"1,300","2,800",11,28,2016,322.314049586777
"120","Clarke",9300,"1,000","2,400",12,26,2016,408.602150537634
"121","Clay",16300,"1,700","3,700",20,52,2016,441.717791411043
"122","Clayton",17600,"1,800","3,800",NA,7,2016,NA
"123","Clinton",47200,"5,000","10,900",11,104,2016,243.64406779661
"124","Crawford",17000,"1,900","4,300",17,38,2016,323.529411764706
"125","Dallas",84200,"10,000","23,800",39,236,2016,326.603325415677
"126","Davis",8900,"1,100","2,600",NA,14,2016,NA
"127","Decatur",8000,"800","1,800",NA,18,2016,NA
"128","Delaware",17300,"2,000","4,100",5,18,2016,132.947976878613
"129","Des Moines",39600,"4,000","9,000",89,248,2016,851.010101010101
"130","Dickinson",17100,"1,600","3,300",12,44,2016,327.485380116959
"131","Dubuque",96700,"10,000","22,300",92,310,2016,415.718717683557
"132","Emmet",9600,"1,000","2,100",7,37,2016,458.333333333333
"133","Fayette",20000,"1,900","4,200",7,70,2016,385
"134","Floyd",15800,"1,700","3,600",10,63,2016,462.025316455696
"135","Franklin",10200,"1,100","2,300",NA,24,2016,NA
"136","Fremont",7000,"700","1,500",7,14,2016,300
"137","Greene",9000,"1,000","2,100",16,35,2016,566.666666666667
"138","Grundy",12300,"1,300","2,900",NA,12,2016,NA
"139","Guthrie",10600,"1,200","2,400",NA,13,2016,NA
"140","Hamilton",15100,"1,600","3,500",5,25,2016,198.675496688742
"141","Hancock",10900,"1,200","2,400",5,24,2016,266.05504587156
"142","Hardin",17200,"1,700","3,600",15,63,2016,453.488372093023
"143","Harrison",14100,"1,500","3,200",8,18,2016,184.397163120567
"144","Henry",19800,"2,000","4,300",29,64,2016,469.69696969697
"145","Howard",9300,"1,000","2,300",13,24,2016,397.849462365591
"146","Humboldt",9500,"1,000","2,200",5,26,2016,326.315789473684
"147","Ida",7000,"700","1,600",NA,NA,2016,NA
"148","Iowa",16200,"1,700","3,800",7,10,2016,104.938271604938
"149","Jackson",19400,"2,000","4,300",14,43,2016,293.814432989691
"150","Jasper",36700,"3,900","8,200",31,77,2016,294.277929155313
"151","Jefferson",18200,"1,300","2,900",12,30,2016,230.769230769231
"152","Johnson",146600,"12,400","29,600",126,229,2016,242.155525238745
"153","Jones",20400,"2,100","4,500",NA,19,2016,NA
"154","Keokuk",10200,"1,100","2,300",NA,6,2016,NA
"155","Kossuth",15100,"1,600","3,300",5,22,2016,178.807947019868
"156","Lee",34500,"3,200","7,400",70,162,2016,672.463768115942
"157","Linn",221900,"23,900","52,400",283,676,2016,432.17665615142
"158","Louisa",11200,"1,200","2,600",15,20,2016,312.5
"159","Lucas",8600,"900","2,000",11,38,2016,569.767441860465
"160","Lyon",11800,"1,500","3,300",10,23,2016,279.661016949153
"161","Madison",15800,"2,000","4,000",15,49,2016,405.063291139241
"162","Mahaska",22200,"2,400","5,400",27,71,2016,441.441441441441
"163","Marion",33100,"3,700","8,000",20,114,2016,404.833836858006
"164","Marshall",40200,"4,500","10,200",49,176,2016,559.701492537313
"165","Mills",15000,"1,700","3,600",14,48,2016,413.333333333333
"166","Mitchell",10700,"1,200","2,600",0,12,2016,112.14953271028
"167","Monona",8800,"900","1,900",NA,11,2016,NA
"168","Monroe",7900,"900","1,900",11,7,2016,227.848101265823
"169","Montgomery",10100,"1,100","2,300",9,30,2016,386.138613861386
"170","Muscatine",42900,"5,000","10,900",89,130,2016,510.489510489511
"171","O'Brien",13900,"1,600","3,300",8,34,2016,302.158273381295
"172","Osceola",6100,"600","1,400",NA,6,2016,NA
"173","Page",15300,"1,400","3,100",14,20,2016,222.222222222222
"174","Palo Alto",9000,"900","2,000",16,13,2016,322.222222222222
"175","Plymouth",25200,"2,900","6,300",20,38,2016,230.15873015873
"176","Pocahontas",6800,"700","1,600",NA,27,2016,NA
"177","Polk",474800,"51,100","119,200",606,NA,2016,NA
"178","Pottawattamie",93500,"10,100","22,200",99,453,2016,590.374331550802
"179","Poweshiek",18300,"1,700","3,700",11,28,2016,213.114754098361
"180","Ringgold",5000,"600","1,200",0,5,2016,100
"181","Sac",9800,"1,000","2,200",12,21,2016,336.734693877551
"182","Scott",172000,"18,600","41,400",193,460,2016,379.651162790698
"183","Shelby",11700,"1,300","2,600",8,25,2016,282.051282051282
"184","Sioux",34900,"4,200","9,500",13,47,2016,171.919770773639
"185","Story",96800,"7,100","16,100",46,164,2016,216.942148760331
"186","Tama",17200,"1,900","4,100",13,54,2016,389.53488372093
"187","Taylor",6200,"700","1,500",NA,NA,2016,NA
"188","Union",12400,"1,300","2,800",12,37,2016,395.161290322581
"189","Van Buren",7300,"800","1,700",NA,14,2016,NA
"190","Wapello",35300,"3,500","7,900",79,184,2016,745.042492917847
"191","Warren",49300,"5,900","12,300",34,135,2016,342.799188640974
"192","Washington",22100,"2,500","5,600",29,87,2016,524.886877828054
"193","Wayne",6400,"700","1,600",0,14,2016,218.75
"194","Webster",36800,"3,600","7,900",66,228,2016,798.913043478261
"195","Winnebago",10600,"1,100","2,300",NA,24,2016,NA
"196","Winneshiek",20400,"1,800","3,800",6,22,2016,137.254901960784
"197","Woodbury",102700,"11,900","27,000",148,644,2016,771.178188899708
"198","Worth",7500,"700","1,600",0,24,2016,320
"199","Wright",12800,"1,400","3,000",8,20,2016,218.75
"200","Statewide",3130900,"327,800","730,400",NA,NA,2016,NA
"201","Adair",7100,"700","1,500",NA,14,2017,NA
"202","Adams",3700,"300","800",NA,12,2017,NA
"203","Allamakee",13900,"1,400","3,200",27,19,2017,330.935251798561
"204","Appanoose",12400,"1,200","2,700",18,31,2017,395.161290322581
"205","Audubon",5600,"500","1,100",7,8,2017,267.857142857143
"206","Benton",25600,"2,800","6,000",12,36,2017,187.5
"207","Black Hawk",132600,"12,300","28,800",119,349,2017,352.941176470588
"208","Boone",26500,"2,800","5,800",21,77,2017,369.811320754717
"209","Bremer",24900,"2,600","5,600",15,69,2017,337.349397590361
"210","Buchanan",21200,"2,600","5,600",17,52,2017,325.471698113208
"211","Buena Vista",20100,"2,200","5,100",22,92,2017,567.164179104478
"212","Butler",14600,"1,600","3,300",0,14,2017,95.8904109589041
"213","Calhoun",9700,"900","2,100",NA,27,2017,NA
"214","Carroll",20300,"2,200","5,000",17,62,2017,389.162561576355
"215","Cass",13100,"1,400","3,000",15,23,2017,290.076335877863
"216","Cedar",18500,"2,000","4,200",15,35,2017,270.27027027027
"217","Cerro Gordo",43000,"4,000","9,000",24,240,2017,613.953488372093
"218","Cherokee",11300,"1,100","2,400",15,27,2017,371.681415929204
"219","Chickasaw",12000,"1,300","2,800",NA,24,2017,NA
"220","Clarke",9400,"1,000","2,400",NA,35,2017,NA
"221","Clay",16200,"1,700","3,600",17,52,2017,425.925925925926
"222","Clayton",17600,"1,700","3,800",NA,21,2017,NA
"223","Clinton",47000,"5,000","10,900",15,110,2017,265.957446808511
"224","Crawford",17100,"1,900","4,300",10,43,2017,309.941520467836
"225","Dallas",87200,"10,400","24,500",29,181,2017,240.825688073395
"226","Davis",9000,"1,100","2,600",NA,14,2017,NA
"227","Decatur",8000,"800","1,700",NA,15,2017,NA
"228","Delaware",17200,"1,900","4,100",18,23,2017,238.372093023256
"229","Des Moines",39400,"4,100","8,900",106,240,2017,878.172588832487
"230","Dickinson",17200,"1,600","3,300",10,35,2017,261.627906976744
"231","Dubuque",97000,"10,100","22,400",102,408,2017,525.773195876289
"232","Emmet",9400,"1,000","2,000",8,55,2017,670.212765957447
"233","Fayette",19800,"1,900","4,100",22,94,2017,585.858585858586
"234","Floyd",15700,"1,700","3,600",12,85,2017,617.834394904459
"235","Franklin",10200,"1,100","2,300",NA,26,2017,NA
"236","Fremont",6900,"700","1,500",5,10,2017,217.391304347826
"237","Greene",9000,"1,000","2,100",9,38,2017,522.222222222222
"238","Grundy",12300,"1,300","2,800",NA,12,2017,NA
"239","Guthrie",10700,"1,200","2,400",7,18,2017,233.644859813084
"240","Hamilton",15100,"1,600","3,500",7,50,2017,377.483443708609
"241","Hancock",10800,"1,200","2,400",5,25,2017,277.777777777778
"242","Hardin",17000,"1,700","3,500",16,80,2017,564.705882352941
"243","Harrison",14100,"1,500","3,300",9,24,2017,234.042553191489
"244","Henry",19900,"2,000","4,300",52,58,2017,552.763819095477
"245","Howard",9200,"1,100","2,300",16,9,2017,271.739130434783
"246","Humboldt",9600,"1,000","2,200",NA,22,2017,NA
"247","Ida",6900,"700","1,600",NA,12,2017,NA
"248","Iowa",16100,"1,700","3,800",10,23,2017,204.968944099379
"249","Jackson",19400,"2,100","4,300",6,31,2017,190.721649484536
"250","Jasper",37000,"3,900","8,300",25,85,2017,297.297297297297
"251","Jefferson",18400,"1,300","2,900",11,47,2017,315.217391304348
"252","Johnson",149200,"12,800","30,200",120,263,2017,256.702412868633
"253","Jones",20500,"2,100","4,500",0,42,2017,204.878048780488
"254","Keokuk",10200,"1,100","2,300",5,21,2017,254.901960784314
"255","Kossuth",15000,"1,500","3,300",5,22,2017,180
"256","Lee",34300,"3,300","7,400",89,115,2017,594.752186588921
"257","Linn",224100,"23,800","52,600",277,805,2017,482.820169567158
"258","Louisa",11200,"1,200","2,600",17,35,2017,464.285714285714
"259","Lucas",8500,"900","1,900",10,86,2017,1129.41176470588
"260","Lyon",11800,"1,500","3,300",5,42,2017,398.305084745763
"261","Madison",16000,"1,900","4,000",5,32,2017,231.25
"262","Mahaska",22200,"2,400","5,400",16,71,2017,391.891891891892
"263","Marion",33100,"3,700","7,800",29,96,2017,377.643504531722
"264","Marshall",40300,"4,600","10,300",47,135,2017,451.612903225806
"265","Mills",15100,"1,700","3,600",12,34,2017,304.635761589404
"266","Mitchell",10600,"1,200","2,500",NA,15,2017,NA
"267","Monona",8700,"900","1,900",0,18,2017,206.896551724138
"268","Monroe",7800,"900","1,900",NA,15,2017,NA
"269","Montgomery",10100,"1,100","2,300",16,18,2017,336.633663366337
"270","Muscatine",42900,"5,000","10,800",97,184,2017,655.011655011655
"271","O'Brien",13800,"1,500","3,300",7,18,2017,181.159420289855
"272","Osceola",6000,"700","1,400",5,18,2017,383.333333333333
"273","Page",15200,"1,400","3,000",15,24,2017,256.578947368421
"274","Palo Alto",9100,"900","2,100",19,20,2017,428.571428571429
"275","Plymouth",25200,"2,900","6,300",25,45,2017,277.777777777778
"276","Pocahontas",6800,"700","1,600",NA,22,2017,NA
"277","Polk",481800,"52,300","120,600",497,NA,2017,NA
"278","Pottawattamie",93400,"10,100","22,100",105,360,2017,497.858672376874
"279","Poweshiek",18300,"1,700","3,600",7,33,2017,218.579234972678
"280","Ringgold",5000,"600","1,200",NA,17,2017,NA
"281","Sac",9800,"1,000","2,200",NA,16,2017,NA
"282","Scott",172500,"18,600","41,200",273,362,2017,368.115942028986
"283","Shelby",11600,"1,300","2,600",6,23,2017,250
"284","Sioux",34900,"4,300","9,400",21,47,2017,194.842406876791
"285","Story",97500,"7,200","16,100",42,147,2017,193.846153846154
"286","Tama",17100,"1,900","4,100",13,48,2017,356.72514619883
"287","Taylor",6200,"600","1,400",NA,6,2017,NA
"288","Union",12400,"1,300","2,800",16,40,2017,451.612903225806
"289","Van Buren",7200,"800","1,600",5,22,2017,375
"290","Wapello",35000,"3,500","7,800",74,237,2017,888.571428571429
"291","Warren",50200,"5,900","12,400",41,113,2017,306.772908366534
"292","Washington",22300,"2,500","5,600",21,105,2017,565.022421524664
"293","Wayne",6500,"700","1,600",0,9,2017,138.461538461538
"294","Webster",36600,"3,600","8,000",50,169,2017,598.360655737705
"295","Winnebago",10600,"1,100","2,300",8,28,2017,339.622641509434
"296","Winneshiek",20200,"1,900","3,700",13,23,2017,178.217821782178
"297","Woodbury",102400,"12,000","26,800",96,553,2017,633.7890625
"298","Worth",7500,"700","1,600",NA,13,2017,NA
"299","Wright",12800,"1,400","3,100",10,31,2017,320.3125
"300","Statewide",3145700,"330,300","731,900",NA,NA,2017,NA
"301","Adair",7100,"700","1,500",0,7,2018,98.5915492957746
"302","Adams",3600,"300","800",5,10,2018,416.666666666667
"303","Allamakee",13800,"1,400","3,300",9,27,2018,260.869565217391
"304","Appanoose",12400,"1,300","2,800",17,39,2018,451.612903225806
"305","Audubon",5500,"500","1,100",7,NA,2018,NA
"306","Benton",25600,"2,800","6,000",18,49,2018,261.71875
"307","Black Hawk",132400,"12,400","28,800",171,436,2018,458.459214501511
"308","Boone",26300,"2,700","5,600",32,72,2018,395.437262357414
"309","Bremer",24900,"2,600","5,600",28,88,2018,465.863453815261
"310","Buchanan",21200,"2,700","5,500",14,50,2018,301.88679245283
"311","Buena Vista",19900,"2,200","5,100",24,77,2018,507.537688442211
"312","Butler",14500,"1,600","3,300",5,18,2018,158.620689655172
"313","Calhoun",9700,"900","2,100",NA,24,2018,NA
"314","Carroll",20200,"2,200","4,900",15,40,2018,272.277227722772
"315","Cass",12900,"1,400","2,900",10,32,2018,325.581395348837
"316","Cedar",18600,"2,000","4,100",23,45,2018,365.591397849462
"317","Cerro Gordo",42600,"4,000","8,800",40,191,2018,542.253521126761
"318","Cherokee",11300,"1,100","2,500",NA,18,2018,NA
"319","Chickasaw",12000,"1,300","2,800",NA,27,2018,NA
"320","Clarke",9400,"1,100","2,400",7,25,2018,340.425531914894
"321","Clay",16100,"1,700","3,700",14,33,2018,291.925465838509
"322","Clayton",17600,"1,700","3,700",5,13,2018,102.272727272727
"323","Clinton",46500,"4,900","10,600",9,88,2018,208.602150537634
"324","Crawford",17200,"1,900","4,300",24,57,2018,470.93023255814
"325","Dallas",90200,"10,700","25,000",44,224,2018,297.117516629712
"326","Davis",9000,"1,200","2,600",NA,11,2018,NA
"327","Decatur",7900,"800","1,700",NA,NA,2018,NA
"328","Delaware",17100,"1,900","4,000",26,26,2018,304.093567251462
"329","Des Moines",39100,"4,000","8,800",99,199,2018,762.148337595908
"330","Dickinson",17200,"1,500","3,300",11,21,2018,186.046511627907
"331","Dubuque",96900,"10,000","22,000",122,460,2018,600.61919504644
"332","Emmet",9300,"900","1,900",8,32,2018,430.10752688172
"333","Fayette",19700,"1,900","4,100",25,50,2018,380.710659898477
"334","Floyd",15800,"1,700","3,600",15,35,2018,316.455696202532
"335","Franklin",10100,"1,100","2,300",11,30,2018,405.940594059406
"336","Fremont",7000,"700","1,600",12,NA,2018,NA
"337","Greene",9000,"900","2,100",8,23,2018,344.444444444444
"338","Grundy",12300,"1,400","2,800",NA,28,2018,NA
"339","Guthrie",10700,"1,200","2,400",13,21,2018,317.757009345794
"340","Hamilton",15000,"1,600","3,400",NA,26,2018,NA
"341","Hancock",10700,"1,100","2,300",NA,20,2018,NA
"342","Hardin",16900,"1,600","3,400",16,93,2018,644.970414201183
"343","Harrison",14100,"1,500","3,300",17,17,2018,241.13475177305
"344","Henry",20100,"2,000","4,300",33,95,2018,636.81592039801
"345","Howard",9200,"1,100","2,300",0,25,2018,271.739130434783
"346","Humboldt",9500,"1,100","2,200",NA,19,2018,NA
"347","Ida",6800,"800","1,700",NA,8,2018,NA
"348","Iowa",16100,"1,700","3,800",12,16,2018,173.913043478261
"349","Jackson",19400,"2,100","4,300",NA,32,2018,NA
"350","Jasper",37100,"4,000","8,300",33,86,2018,320.754716981132
"351","Jefferson",18400,"1,300","2,900",15,25,2018,217.391304347826
"352","Johnson",151300,"12,800","30,200",123,279,2018,265.697290152016
"353","Jones",20700,"2,200","4,400",NA,50,2018,NA
"354","Keokuk",10200,"1,100","2,300",6,19,2018,245.098039215686
"355","Kossuth",14900,"1,500","3,300",8,20,2018,187.919463087248
"356","Lee",34100,"3,200","7,300",50,99,2018,436.950146627566
"357","Linn",225900,"23,800","52,500",284,843,2018,498.893315626383
"358","Louisa",11200,"1,200","2,500",16,22,2018,339.285714285714
"359","Lucas",8600,"900","2,000",8,30,2018,441.860465116279
"360","Lyon",11800,"1,500","3,300",NA,19,2018,NA
"361","Madison",16200,"2,000","4,000",14,62,2018,469.135802469136
"362","Mahaska",22000,"2,400","5,300",15,62,2018,350
"363","Marion",33400,"3,800","7,900",22,88,2018,329.341317365269
"364","Marshall",40000,"4,600","10,100",44,163,2018,517.5
"365","Mills",15100,"1,700","3,600",18,35,2018,350.993377483444
"366","Mitchell",10600,"1,200","2,500",NA,13,2018,NA
"367","Monona",8700,"900","1,900",6,10,2018,183.908045977011
"368","Monroe",7800,"900","1,800",9,23,2018,410.25641025641
"369","Montgomery",10000,"1,100","2,300",13,22,2018,350
"370","Muscatine",42900,"5,000","10,700",47,118,2018,384.615384615385
"371","O'Brien",13800,"1,500","3,300",11,32,2018,311.594202898551
"372","Osceola",6000,"700","1,400",10,11,2018,350
"373","Page",15200,"1,400","2,900",5,26,2018,203.947368421053
"374","Palo Alto",8900,"900","2,000",7,20,2018,303.370786516854
"375","Plymouth",25100,"3,000","6,300",10,42,2018,207.171314741036
"376","Pocahontas",6700,"700","1,500",NA,23,2018,NA
"377","Polk",487200,"52,900","121,300",456,NA,2018,NA
"378","Pottawattamie",93500,"10,000","22,000",116,326,2018,472.727272727273
"379","Poweshiek",18700,"1,700","3,600",NA,30,2018,NA
"380","Ringgold",5000,"600","1,200",NA,8,2018,NA
"381","Sac",9700,"1,000","2,200",NA,13,2018,NA
"382","Scott",173300,"18,700","41,100",384,414,2018,460.473167916907
"383","Shelby",11600,"1,300","2,600",NA,10,2018,NA
"384","Sioux",34900,"4,300","9,400",22,33,2018,157.593123209169
"385","Story",98100,"7,300","16,200",39,158,2018,200.815494393476
"386","Tama",16900,"1,900","4,100",16,51,2018,396.449704142012
"387","Taylor",6200,"700","1,500",0,NA,2018,NA
"388","Union",12400,"1,300","2,700",36,50,2018,693.548387096774
"389","Van Buren",7000,"700","1,600",NA,24,2018,NA
"390","Wapello",35200,"3,500","7,900",104,251,2018,1008.52272727273
"391","Warren",51100,"6,000","12,700",45,123,2018,328.767123287671
"392","Washington",22100,"2,500","5,500",20,94,2018,515.837104072398
"393","Wayne",6400,"700","1,600",NA,11,2018,NA
"394","Webster",36300,"3,600","7,900",53,156,2018,575.757575757576
"395","Winnebago",10500,"1,100","2,300",5,27,2018,304.761904761905
"396","Winneshiek",20000,"1,900","3,700",7,22,2018,145
"397","Woodbury",102500,"12,100","26,700",86,562,2018,632.19512195122
"398","Worth",7500,"700","1,500",0,11,2018,146.666666666667
"399","Wright",12700,"1,400","3,000",9,26,2018,275.590551181102
"400","Statewide",3156100,"331,400","730,800",NA,NA,2018,NA
